No.,x,y
0,16.90148,99.1241
1,13.71485,100.77568
2,16.8757515,99.1355802
3,17.2277392,98.9824103
4,13.7601,100.57694
5,16.6911,98.5185
6,12.62748,99.95154
7,14.05577,100.60948
8,13.277239,100.9835134
9,13.58595,100.94014
10,15.37711,100.23812
11,14.1286085,100.5117555
12,12.99809,101.17854
13,13.57557,100.64408
14,13.71409,100.81108
15,12.8761,101.3283
16,14.93757,102.0353
17,13.42204,101.01786
18,13.05231,101.20855
19,14.05577,100.60948
20,13.00336,101.14953
21,13.00634,101.19235
22,13.07564,100.90202
23,14.3236,100.66618
24,4.57532,100.98755
25,13.07151,100.88575
26,13.00084,101.08973
27,13.56628,100.69454
28,14.121,100.60933
29,13.54941,100.67203
30,12.9774,101.10964
31,14.12306,100.59606
32,13.0075,101.18867
33,13.55262,100.65387
34,13.55719,100.72385
35,16.22415,99.89705
36,17.56346,99.85814
37,13.06443,101.01461
38,13.08135,100.91537
39,14.04159,100.45322
40,13.75498,100.64947
41,13.44167,101.04203
42,13.55856,100.79092
43,13.00702,101.18923
44,13.06267,101.19489
45,13.09476,100.89965
46,13.06681,101.19046
47,13.44566,101.00446
48,13.07114,101.19292
49,13.99917,100.6156
50,13.67606,100.29557
51,13.63297,100.72041
52,13.70248,100.58399
53,12.80967,101.139
54,13.59118,100.82363
55,13.55805,100.65344
56,16.5722,100.35884
57,13.62919,100.6013
58,14.09279,100.16217
59,14.02757,100.37516
60,13.61208,100.77111
61,16.15933,99.72187
62,13.72069,100.52509
63,12.6754,101.3658
64,14.34731,100.6244
65,13.80397,100.70656
66,17.31343,99.83748
67,12.8314,101.20767
68,12.71059,101.12049
69,13.8371,100.4605
70,13.74798,100.56724
71,12.71565,101.21837
72,14.32735,100.63405
73,13.4169162,100.9905543
74,13.5817955,100.6758787
75,13.86249,100.61656
76,13.6530628,100.660707
77,12.71566,101.2161894
78,13.00425,101.13295
79,13.61573,100.8021
80,14.11605,100.56807
81,16.659,98.53691
82,13.42363,101.02245
83,13.28516,101.18221
84,13.5792377,100.6974498
85,13.56964,100.93417
86,13.57895,100.75668
87,13.97799,100.4361
88,13.7198,100.79651
89,13.44949,101.07634
90,13.61998,100.6351
91,13.42662,101.11548
92,13.01654,101.16376
93,13.4381,101.03936
94,13.82273,100.52336
95,14.20612,100.58467
96,13.0919837,100.8994153
97,18.57141,99.06263
98,13.54181,100.96227
99,18.9862497,99.1212908
100,13.3264017,101.0011225
101,13.44556,101.03562
102,13.00498,101.19276
103,13.69425,100.49231
104,13.91569,100.54914
105,13.76464,100.79319
106,13.85703,100.54778
107,18.8125,99.03462
108,13.58297,100.83707
109,14.09593,100.61229
110,13.5666,100.79268
111,13.55044,100.65984
112,13.60355,101.34322
113,16.9159357,99.0875352
114,13.6355399,100.5141787
115,13.5825259,100.6048054
116,13.58375,100.77443
117,13.58176,100.69927
118,13.05889,101.17721
119,13.75945,100.1731
120,13.58047,100.93167
121,12.74519,101.09539
122,13.75628,100.53289
123,18.29281,99.74754
124,18.54871,99.03531
125,13.90931,100.38505
